Year,EERE,Vehicle Technologies,Biomass & Biorefinery Systems R&D,Hydrogen & Fuel Cell Technologies,Solar Energy Technologies,Wind Energy Technologies,Solar & Wind (Combined),Water Power Technologies,Geothermal Technologies,SWHG Combined,Distributed Energy Resources,Advanced Manufacturing,Federal Energy Management Program,Building Technologies,Weatherization Assistance,Departmental Energy Management Program,Training & Technical Assistance,State Energy Program,Facilities & Infrastructure (NREL),Program Direction,Strategic Programs,Congressionally Directed Funds,Use of Prior Year Balances
2003,"$1,202,326,000","$174,171,000","$85,283,000","$38,113,000","$82,330,000","$41,640,000","$120,443,000","$5,016,000","$28,390,000","$153,849,000","$60,054,000","$96,824,000","$19,299,000","$58,327,000","$314,155,000","$1,445,000",$0,$0,"$5,297,000","$12,615,000",$0,$0,$0
2004,"$1,220,262,000","$172,379,000","$84,608,000","$80,412,000","$80,731,000","$39,803,000","$161,143,000","$4,673,000","$24,625,000","$190,441,000","$59,684,000","$90,450,000","$19,420,000","$57,799,000","$307,932,000","$1,963,000",$0,$0,"$12,950,000","$16,490,000",$0,$0,"-$2,823,000"
2005,"$1,234,313,000","$161,326,000","$87,471,000","$166,772,000","$84,255,000","$40,631,000","$251,027,000","$4,880,000","$25,256,000","$281,163,000","$59,069,000","$73,371,000","$19,882,000","$65,155,000","$325,452,000",$0,$0,$0,"$11,389,000","$115,052,000",$0,$0,"-$5,648,000"
2006,"$1,162,747,000","$178,351,000","$89,776,000","$153,451,000","$81,791,000","$38,333,000","$235,242,000","$495,000","$22,762,000","$258,499,000",$0,"$55,856,000","$18,974,000","$68,190,000","$316,866,000",$0,$0,$0,"$26,052,000","$115,189,000",$0,$0,"-$3,339,000"
2007,"$1,457,241,000","$183,580,000","$196,277,000","$189,511,000","$157,028,000","$48,659,000","$346,539,000",$0,"$5,000,000","$351,539,000",$0,"$55,763,000","$19,480,000","$102,983,000","$281,731,000",$0,$0,$0,"$107,035,000","$110,194,000",$0,$0,$0
2008,"$1,704,112,000","$208,359,000","$195,633,000","$206,241,000","$166,320,000","$49,034,000","$372,561,000","$9,654,000","$19,307,000","$401,522,000",$0,"$63,192,000","$19,818,000","$107,382,000","$282,217,000",$0,$0,$0,"$76,176,000","$114,858,000",$0,"$186,664,000","-$743,000"
2009,"$2,156,865,000","$267,143,000","$214,245,000","$164,638,000","$172,414,000","$54,370,000","$337,052,000","$39,082,000","$43,322,000","$419,456,000",$0,"$88,196,000","$22,000,000","$138,113,000","$516,000,000",$0,$0,$0,"$76,000,000","$145,777,000",$0,"$228,803,000","-$13,238,000"
2010,"$2,216,392,000","$304,223,000","$216,225,000","$170,297,000","$243,396,000","$79,011,000","$413,693,000","$48,669,000","$43,120,000","$505,482,000",$0,"$94,270,000","$32,000,000","$219,046,000","$270,000,000",$0,$0,$0,"$19,000,000","$185,000,000",$0,"$292,135,000",$0
2011,"$1,771,721,000","$293,151,000","$179,979,000","$95,847,000","$259,556,000","$78,834,000","$355,403,000","$29,201,000","$36,992,000","$421,596,000",$0,"$105,899,000","$30,402,000","$207,310,000","$231,300,000",$0,$0,$0,"$51,000,000","$202,000,000",$0,"$250,000","-$30,000,000"
2012,"$1,780,548,000","$320,966,000","$194,995,000","$101,326,000","$284,702,000","$91,813,000","$386,028,000","$58,076,000","$36,979,000","$481,083,000",$0,"$112,692,000","$29,891,000","$214,706,000","$128,000,000",$0,$0,$0,"$26,311,000","$165,000,000","$25,000,000",$0,"-$9,909,000"
2013,"$1,691,757,000","$303,165,000","$185,190,000","$95,844,000","$269,050,000","$86,129,000","$364,894,000","$54,687,000","$35,025,000","$454,606,000",$0,"$114,254,000","$28,265,000","$204,601,000","$128,879,000",$0,"$2,826,000","$56,529,000","$24,880,000","$160,455,000","$23,554,000",$0,"-$81,576,000"
2014,"$1,691,757,000","$303,165,000","$185,190,000","$95,844,000","$269,050,000","$86,129,000","$364,894,000","$54,687,000","$35,025,000","$454,606,000",$0,"$114,254,000","$28,265,000","$204,601,000","$128,879,000",$0,"$2,826,000","$56,529,000","$24,880,000","$160,455,000","$23,554,000",$0,"-$81,576,000"
2015,"$1,840,847,000","$272,526,000","$175,915,000","$94,830,000","$230,800,000","$105,936,000","$325,630,000","$59,999,000","$54,288,000","$439,917,000",$0,"$194,175,000","$27,000,000","$168,153,000","$189,600,000",$0,"$3,000,000","$50,000,000","$56,400,000","$160,750,000","$21,000,000",$0,"-$23,525,000"
2016,"$2,069,194,000","$310,000,000","$225,000,000","$100,950,000","$241,600,000","$95,450,000","$342,550,000","$70,000,000","$71,000,000","$483,550,000",$0,"$228,500,000","$27,000,000","$200,500,000","$211,600,000",$0,"$3,000,000","$50,000,000","$62,400,000","$155,000,000","$21,000,000",$0,"-$3,806,000"
2017,"$2,034,582,000","$306,959,000","$205,000,000","$101,000,000","$207,600,000","$90,000,000","$308,600,000","$84,000,000","$69,500,000","$462,100,000",$0,"$257,500,000","$27,000,000","$199,141,000","$225,000,000",$0,"$3,000,000","$50,000,000","$92,000,000","$153,500,000","$19,000,000",$0,"-$55,618,000"
2018,"$2,321,778,000","$337,500,000","$221,545,000","$115,000,000","$241,600,000","$92,000,000","$356,600,000","$105,000,000","$80,906,000","$542,506,000",$0,"$305,000,000","$27,000,000","$220,727,000","$248,000,000",$0,"$3,000,000","$55,000,000","$92,000,000","$162,500,000","$15,000,000",$0,$0
2019,"$2,379,000,000","$344,000,000","$226,000,000","$120,000,000","$246,500,000","$92,000,000","$366,500,000","$105,000,000","$84,000,000","$555,500,000",$0,"$320,000,000","$30,000,000","$226,000,000","$254,000,000",$0,"$3,000,000","$55,000,000","$97,000,000","$162,500,000","$14,000,000",$0,$0
,,,,,,,,,,,,,,,,,,`,,,,,